Store No,Store,TY Units,LY Units,TW Sales,LW Sales,LW Var %,LY Sales,LY Var %,YTD Sales,LYTD Sales,LYTD Var %
BLM_COM,BLOOMINGDALES.COM,11,0,1223,9044,-0.86,0,,67624.64,16721,3.04
DIRCT,Direct Sales,18,0,591.01,432.29,0.37,0,,9783.77,15603.87,-0.37
US001,SNK Greene Street - CLOSED,0,0,0,0,,0,,0,0,
US005,SNK Lexington - CLOSED,0,0,0,0,,0,,0,2078.09,-1
US006,SNK New Canaan,0,2,0,20,-1,303.8,-1,2577.31,4620.32,-0.44
US007,SNK Brentwood,1,2,49,401.3,-0.88,238,-0.79,2980.21,5754.27,-0.48
US008,SNK Marin County,0,2,0,0,,78,-1,2889.28,3852.07,-0.25
US009,SNK Montecito,0,3,0,414.17,-1,417.69,-1,3141.57,4321.46,-0.27
US010,SNK Palo Alto,0,0,0,124.34,-1,0,,1211.8,2950.63,-0.59
US011,SNK Prince Street,0,3,0,309.11,-1,18.4,-1,5190.89,6494.53,-0.2
US012,SNK Fillmore Street,4,1,249.43,122.91,1.03,39,5.4,5128.09,5652.76,-0.09
US013,SNK Williamsburg,2,2,139,0,,73.3,0.9,2853.07,2757.23,0.03
USB01,BLM 59th Street,9,3,870.96,499.15,0.74,209.2,3.16,10350.14,17839.09,-0.42
USB02,BLM Boca Raton,1,1,76.91,0,,139,-0.45,1339.88,4360.14,-0.69
USB03,BLM Aventura,3,0,287.34,116.44,1.47,0,,3165.48,3290.37,-0.04
USB06,BLM Short Hills,-1,2,-117.81,89,-2.32,174.1,-1.68,1026.86,4206.22,-0.76
USB08,BLM Chicago,4,1,153.45,0,,125.1,0.23,1816.96,5408.14,-0.66
USB11,BLM Chestnut Hill,-1,2,-39,-100,-0.61,318.1,-1.12,8483.58,10746.86,-0.21
USB12,BLM White Plains,1,0,71.75,117.75,-0.39,0,,1001.18,2137.47,-0.53
USB14,BLM Tysons Corner,0,3,0,165.84,-1,417,-1,2852.34,5407.75,-0.47
USB22,BLM San Francisco,12,-1,1158.77,184.02,5.3,-169.5,-7.84,9413.28,10502.92,-0.1
USB27,BLM Roosevelt Field,2,0,219.24,492.7,-0.56,0,,6497.44,7420.97,-0.12
USB28,BLM Century City,1,1,89,0,,134,-0.34,3149.12,5899.77,-0.47
USB29,BLM Sherman Oaks,3,0,417,117.14,2.56,0,,4123.46,3465.12,0.19
USB30,BLM Newport Beach,2,4,275.67,74.26,2.71,516,-0.47,4111.82,5175.21,-0.21
USB31,BLM Stanford,1,0,89,89,0,0,,4224.27,3514.96,0.2
USB32,BLM Beverly Center,1,0,89,49,0.82,0,,972.39,0,
USB53,BLM Soho,10,-1,766,1497.16,-0.49,11,68.64,13238.17,19854.74,-0.33
USB59,BLM Santa Monica,1,0,168,0,,0,,1664.51,1778.41,-0.06
USB61,BLM Fashion Valley,0,0,0,263,-1,-135,-1,6594.47,6330.99,0.04
USB62,BLM South Coast Plaza,2,0,128,589.82,-0.78,0,,18200.27,12667.3,0.44
